#allow_merge_commit;allow_rebase_merge;allow_squash_merge;archive_url;archived;assignees_url;blobs_url;branches_url;CHECK_AFTER_INIT_FLAG;clone_url;collaborators_url;comments_url;commits_url;compare_url;contents_url;contributors_url;created_at;default_branch;delete_branch_on_merge;description;downloads_url;etag;events_url;fork;forks;forks_count;forks_url;full_name;git_commits_url;git_refs_url;git_tags_url;git_url;has_downloads;has_issues;has_projects;has_wiki;homepage;hooks_url;html_url;id;issue_comment_url;issue_events_url;issues_url;keys_url;labels_url;language;languages_url;last_modified;master_branch;merges_url;milestones_url;mirror_url;name;network_count;notifications_url;open_issues;open_issues_count;organization;owner;parent;permissions;private;pulls_url;pushed_at;raw_data;raw_headers;size;source;ssh_url;stargazers_count;stargazers_url;statuses_url;subscribers_count;subscribers_url;subscription_url;svn_url;tags_url;teams_url;topics;trees_url;updated_at;url;watchers;watchers_count
;;;;;;;;;;;;;;;;;;;;;;;;;;;mcauser/micropython-waveshare-epaper;;;;;;;;;;x;https://github.com/mcauser/micropython-waveshare-epaper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;hydrabus/hydrabus;;;;;;;;;;x;https://github.com/hydrabus/hydrabus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;loboris/MicroPython_K210_LoBo;;;;;;;;;;x;https://github.com/loboris/MicroPython_K210_LoBo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;SHA2017-badge/Firmware;;;;;;;;;;x;https://github.com/SHA2017-badge/Firmware;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;jczic/MicroMLP;;;;;;;;;;x;https://github.com/jczic/MicroMLP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;BradenM/micropy-cli;;;;;;;;;;x;https://github.com/BradenM/micropy-cli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;tuupola/micropython-mpu9250;;;;;;;;;;x;https://github.com/tuupola/micropython-mpu9250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;fadushin/esp8266;;;;;;;;;;x;https://github.com/fadushin/esp8266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;dmazzella/uble;;;;;;;;;;x;https://github.com/dmazzella/uble;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;SpotlightKid/micropython-stm-lib;;;;;;;;;;x;https://github.com/SpotlightKid/micropython-stm-lib;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;martinribelotta/uPyIDE;;;;;;;;;;x;https://github.com/martinribelotta/uPyIDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;kevinkk525/pysmartnode;;;;;;;;;;x;https://github.com/kevinkk525/pysmartnode;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;home-assistant/micropython-home-assistant;;;;;;;;;;x;https://github.com/home-assistant/micropython-home-assistant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;pfalcon/utemplate;;;;;;;;;;x;https://github.com/pfalcon/utemplate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;ulno/ulnoiot-upy;;;;;;;;;;x;https://github.com/ulno/ulnoiot-upy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;agucova/awesome-esp;;;;;;;;;;new;https://github.com/agucova/awesome-esp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;mmicko/fpga101-workshop;;;;;;;;;;new;https://github.com/mmicko/fpga101-workshop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
