08-06 15:25 | INFO | processing: /media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py
08-06 15:26 | INFO | processing: /media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/pycryptodomex-3.9.7-cp36-cp36m-manylinux1_x86_64/Cryptodome/IO/_PBES.py
08-06 15:26 | INFO | processing: /media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/pycryptodomex-3.9.7-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py
08-06 15:26 | INFO | processing: /media/ubuntu/DATA/repositories-python/byt3bl33d3r__CrackMapExec/requirements_licma_analysis/minikerberos-0.2.3-py3-none-any/minikerberos/protocol/encryption.py
08-06 15:26 | INFO | processing: /media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/IO/_PBES.py
08-06 15:27 | INFO | processing: /media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py
08-06 15:27 | INFO | processing: /media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/IO/_PBES.py
08-06 15:27 | INFO | processing: /media/ubuntu/DATA/repositories-python/instagrambot__instabot/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py
08-06 15:27 | INFO | processing: /media/ubuntu/DATA/repositories-python/Tautulli__Tautulli/plexpy/notifiers.py
08-06 15:27 | ERROR | parsing not possible: /media/ubuntu/DATA/repositories-python/Tautulli__Tautulli/plexpy/notifiers.py
08-06 15:27 | INFO | processing: /media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/impacket-0.9.21/impacket-0.9.21/impacket/krb5/crypto.py
08-06 15:28 | INFO | processing: /media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/IO/_PBES.py
08-06 15:28 | INFO | processing: /media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py
08-06 15:28 | INFO | processing: /media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/IO/_PBES.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/guardicore__monkey/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/mantl__mantl/requirements_licma_analysis/ansible-1.9.6/ansible-1.9.6/lib/ansible/utils/vault.py
08-06 15:29 | ERROR | parsing not possible: /media/ubuntu/DATA/repositories-python/mantl__mantl/requirements_licma_analysis/ansible-1.9.6/ansible-1.9.6/lib/ansible/utils/vault.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/mantl__mantl/requirements_licma_analysis/pycrypto-2.6.1/pycrypto-2.6.1/lib/Crypto/Protocol/KDF.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/golemfactory__golem/requirements_licma_analysis/bitcoin-1.1.42/bitcoin-1.1.42/bitcoin/mnemonic.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/the0demiurge__ShadowSocksShare/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/IO/_PBES.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/the0demiurge__ShadowSocksShare/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/facebookarchive__python-instagram/requirements_licma_analysis/Beaker-1.6.4/Beaker-1.6.4/beaker/crypto/__init__.py
08-06 15:29 | INFO | processing: /media/ubuntu/DATA/repositories-python/facebookarchive__python-instagram/requirements_licma_analysis/Beaker-1.6.4/Beaker-1.6.4/beaker/crypto/pbkdf2.py
08-06 15:30 | INFO | processing: /media/ubuntu/DATA/repositories-python/Chaosthebot__Chaos/requirements_licma_analysis/ansible-2.3.0.0/ansible-2.3.0.0/lib/ansible/parsing/vault/__init__.py
08-06 15:30 | ERROR | parsing not possible: /media/ubuntu/DATA/repositories-python/Chaosthebot__Chaos/requirements_licma_analysis/ansible-2.3.0.0/ansible-2.3.0.0/lib/ansible/parsing/vault/__init__.py
08-06 15:30 | INFO | processing: /media/ubuntu/DATA/repositories-python/Chaosthebot__Chaos/requirements_licma_analysis/pycrypto-2.6.1/pycrypto-2.6.1/lib/Crypto/Protocol/KDF.py
08-06 15:30 | INFO | processing: /media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/SecretStorage-3.1.2-py3-none-any/secretstorage/item.py
08-06 15:30 | INFO | processing: /media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/SecretStorage-3.1.2-py3-none-any/secretstorage/util.py
08-06 15:30 | INFO | processing: /media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/fernet.py
08-06 15:30 | INFO | processing: /media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py
08-06 15:31 | INFO | processing: /media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/serialization/ssh.py
08-06 15:31 | INFO | processing: /media/ubuntu/DATA/repositories-python/nvbn__thefuck/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/ciphers/base.py
08-06 15:31 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/lib/ansible/parsing/vault/__init__.py
08-06 15:32 | ERROR | parsing not possible: /media/ubuntu/DATA/repositories-python/ansible__ansible/lib/ansible/parsing/vault/__init__.py
08-06 15:32 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/fernet.py
08-06 15:32 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py
08-06 15:33 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/serialization/ssh.py
08-06 15:33 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/ciphers/base.py
08-06 15:33 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/paramiko-2.7.1-py2.py3-none-any/paramiko/pkey.py
08-06 15:35 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/paramiko-2.7.1-py2.py3-none-any/paramiko/ed25519key.py
08-06 15:35 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/paramiko-2.7.1-py2.py3-none-any/paramiko/transport.py
08-06 15:40 | INFO | processing: /media/ubuntu/DATA/repositories-python/ansible__ansible/requirements_licma_analysis/ntlm_auth-1.5.0-py2.py3-none-any/ntlm_auth/rc4.py
08-06 15:40 | INFO | processing: /media/ubuntu/DATA/repositories-python/apache__incubator-superset/requirements_licma_analysis/cryptography-2.8-cp34-abi3-manylinux1_x86_64/cryptography/fernet.py
08-06 15:40 | INFO | processing: /media/ubuntu/DATA/repositories-python/apache__incubator-superset/requirements_licma_analysis/cryptography-2.8-cp34-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py
08-06 15:41 | INFO | processing: /media/ubuntu/DATA/repositories-python/apache__incubator-superset/requirements_licma_analysis/cryptography-2.8-cp34-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/ciphers/base.py
08-06 15:41 | INFO | processing: /media/ubuntu/DATA/repositories-python/apache__incubator-superset/requirements_licma_analysis/SQLAlchemy-Utils-0.36.1/SQLAlchemy-Utils-0.36.1/sqlalchemy_utils/types/encrypted/encrypted_type.py
08-06 15:42 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/fernet.py
08-06 15:43 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py
08-06 15:43 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/serialization/ssh.py
08-06 15:44 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/ciphers/base.py
08-06 15:44 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/SecretStorage-3.1.2-py3-none-any/secretstorage/item.py
08-06 15:44 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/SecretStorage-3.1.2-py3-none-any/secretstorage/util.py
08-06 15:44 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/cryptography-2.8-cp34-abi3-manylinux1_x86_64/cryptography/fernet.py
08-06 15:44 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/cryptography-2.8-cp34-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/keywrap.py
08-06 15:45 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/cryptography-2.8-cp34-abi3-manylinux1_x86_64/cryptography/hazmat/primitives/ciphers/base.py
08-06 15:45 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/paramiko-2.7.1-py2.py3-none-any/paramiko/pkey.py
08-06 15:46 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/paramiko-2.7.1-py2.py3-none-any/paramiko/ed25519key.py
08-06 15:46 | INFO | processing: /media/ubuntu/DATA/repositories-python/certbot__certbot/requirements_licma_analysis/paramiko-2.7.1-py2.py3-none-any/paramiko/transport.py
08-06 15:51 | INFO | processing: /media/ubuntu/DATA/repositories-python/localstack__localstack/requirements_licma_analysis/moto_ext-1.3.15.25-py2.py3-none-any/moto/kms/utils.py
08-06 15:51 | INFO | processing: /media/ubuntu/DATA/repositories-python/localstack__localstack/requirements_licma_analysis/cryptography-3.0-cp35-abi3-manylinux1_x86_64/cryptography/fernet.py
